Doctor_Name,specialization,avg_rate,clinic_location,Category,general_location,Unnamed: 0,latitude_exact,longitude_exact,latitude_general,longitude_general,latitude,longitude
Hassan Mahmoud,Nutritionist,4.5,Faisal,Others,Faisal,75.0,30.0978834,32.4856496,30.0978834,32.4856496,30.0978834,32.4856496
Youssef El-Sherif,Orthopedist,4.5,"Faisal , king faisal",Musculoskeletal,"Faisal , king faisal",,,,,,,
Noha Samir,Oncologist,5.0,"El-Maadi , ElNasr",Others,"El-Maadi , ElNasr",,,,,,,
Mahmoud El-Shennawy,Physiotherapist,5.0,El-Mansoura,Musculoskeletal,El-Mansoura,0.0,36.786091,9.9000163,36.786091,9.9000163,36.786091,9.9000163
Mariam El-Shennawy,Dermatologist,4.5,El-Ibrahimia,Skin,El-Ibrahimia,1.0,28.4243751,30.7932891,28.4243751,30.7932891,28.4243751,30.7932891
Nadia Kamel,Orthopedist,4.5,6th of October,Musculoskeletal,6th of October,2.0,29.9723458,30.9409205,29.9723458,30.9409205,29.9723458,30.9409205
Mostafa El-Amin,Gynecologist,4.758470894874023,El-Haram,Urinary and Reproductive,El-Haram,3.0,29.9942663,31.1604591,29.9942663,31.1604591,29.9942663,31.1604591
Sara El-Naggar,Dermatologist,5.0,Nasr City,Skin,Nasr City,4.0,30.0521177,31.3422045,30.0521177,31.3422045,30.0521177,31.3422045
Nadia El-Shazly,Audiologist,4.5,"Faisal , fisal street","Eye, Ear and Nose","Faisal , fisal street",,,,,,,
Sami Khalil,Physiotherapist,4.0,"El-Maadi , street 287",Musculoskeletal,"El-Maadi , street 287",,,,,,,
Nour El-Shennawy,Dentist,4.5,El-Mansoura,Others,El-Mansoura,0.0,36.786091,9.9000163,36.786091,9.9000163,36.786091,9.9000163
Nader El-Gohary,Dentist,4.5,"Nasr City ,  Mohamed Almakreif",Others,"Nasr City ,  Mohamed Almakreif",,,,,,,
Hani El-Amin,Dentist,4.5,"Madinaty , Medical Center",Others,"Madinaty , Medical Center",,,,,,,
Walid Shalaby,Ophthalmologist,5.0,"Hadayek El-Kobba , Abdelgleel street from Ibn Sender","Eye, Ear and Nose","Hadayek El-Kobba , Abdelgleel street from Ibn Sender",,,,,,,
Noha El-Sherbiny,Gynecologist,4.5,"El-Haram , Haram Street Nasr eldin Station",Urinary and Reproductive,"El-Haram , Haram Street Nasr eldin Station",,,,,,,
Fady Abdallah,Psychiatrist,4.5,"Victoria , Gamal Abdelnaser",Neurological and Psychiatric,"Victoria , Gamal Abdelnaser",,,,,,,
Rami Ibrahim,Dentist,4.5,"El-Haram , 93 el haram street - beside city mall",Others,"El-Haram , 93 el haram street - beside city mall",,,,,,,
Ahmed Taha,Physiotherapist,4.0,"6th of October , Central Axis",Musculoskeletal,"6th of October , Central Axis",,,,,,,
Reem Zaki,Physiotherapist,4.5,"El-Haram , madkour",Musculoskeletal,"El-Haram , madkour",,,,,,,
Fady Saeed,Dentist,4.5,"El-Sheikh Zayed , Beverly Hills-gate 9",Others,"El-Sheikh Zayed , Beverly Hills-gate 9",,,,,,,
Hassan Gaber,Dentist,4.5,"Mahalla , El-shon",Others,"Mahalla , El-shon",,,,,,,
Mostafa El-Saied,Dentist,4.5,"El-Haram ,  Salam",Others,"El-Haram ,  Salam",,,,,,,
Zein El-Hadidy,Ophthalmologist,4.5,"Assiut city , Yusri Ragheb St.","Eye, Ear and Nose","Assiut city , Yusri Ragheb St.",,,,,,,
Hassan El-Shennawy,Dentist,4.5,"Nasr City , makram ebeid",Others,"Nasr City , makram ebeid",,,,,,,
Hassan Abdallah,Dentist,4.5,"Banha , el safaa",Others,"Banha , el safaa",,,,,,,
Rami Fahmy,General Surgeon,4.5,"El-Maadi , Al Nasr Street",Musculoskeletal,"El-Maadi , Al Nasr Street",,,,,,,
Zein El-Mahdy,Gynecologist,5.0,"El-Dokki , El Tahrir st.",Urinary and Reproductive,"El-Dokki , El Tahrir st.",,,,,,,
Adel El-Mahdy,Dentist,4.5,"Nasr City , abo dawood zahry",Others,"Nasr City , abo dawood zahry",,,,,,,
Nader Shalaby,Dentist,4.5,"New Cairo , 90 Street",Others,"New Cairo , 90 Street",,,,,,,
Mahmoud El-Amin,Internist,4.5,"El-Mansoura , Al seka algdeda",Others,"El-Mansoura , Al seka algdeda",,,,,,,
Sara Fathy,Orthopedist,4.5,"Imbaba , Main wehda street",Musculoskeletal,"Imbaba , Main wehda street",,,,,,,
Mahmoud Taha,Nutritionist,5.0,El-Sheikh Zayed,Others,El-Sheikh Zayed,204.0,30.048347,30.9832235,30.048347,30.9832235,30.048347,30.9832235
Adel Khalil,ENT Doctor,4.0,"Ain Shams , 70 Khaled Ebn El Waleed st., From Mostafa Hafez st., Beside Zaher, Guesr El Suez st., In front of El Shams club","Eye, Ear and Nose","Ain Shams , 70 Khaled Ebn El Waleed st., From Mostafa Hafez st., Beside Zaher, Guesr El Suez st., In front of El Shams club",,,,,,,
Mariam El-Saied,Dentist,4.5,"Faisal , hassan mohamed station-Feisal",Others,"Faisal , hassan mohamed station-Feisal",,,,,,,
Jamal Shalaby,Physiotherapist,4.5,"Shibin El-Kom , Abo Bakr Elsedeek",Musculoskeletal,"Shibin El-Kom , Abo Bakr Elsedeek",,,,,,,
Rami Mahmoud,Dentist,4.0,"Hadayek El-Ahram , 2nd gate khafra",Others,"Hadayek El-Ahram , 2nd gate khafra",,,,,,,
Omar El-Baz,Physiotherapist,5.0,El-Mansoura,Musculoskeletal,El-Mansoura,0.0,36.786091,9.9000163,36.786091,9.9000163,36.786091,9.9000163
Zein El-Khatib,Dermatologist,4.5,El-Ibrahimia,Skin,El-Ibrahimia,1.0,28.4243751,30.7932891,28.4243751,30.7932891,28.4243751,30.7932891
Bassam Taha,Orthopedist,4.5,6th of October,Musculoskeletal,6th of October,2.0,29.9723458,30.9409205,29.9723458,30.9409205,29.9723458,30.9409205
Nader Salah,Gynecologist,4.758470894874023,El-Haram,Urinary and Reproductive,El-Haram,3.0,29.9942663,31.1604591,29.9942663,31.1604591,29.9942663,31.1604591
Omar Farouk,Dermatologist,5.0,Nasr City,Skin,Nasr City,4.0,30.0521177,31.3422045,30.0521177,31.3422045,30.0521177,31.3422045
Ahmed Mostafa,Internist,4.5,"El-Manyal , Saeed Tho Al fakar Street - branched from El basha square",Others,"El-Manyal , Saeed Tho Al fakar Street - branched from El basha square",,,,,,,
Sara Fahmy,Vascular Surgeon,4.5,"6th of October , El Mehwar El Markazy",Musculoskeletal,"6th of October , El Mehwar El Markazy",,,,,,,
Mostafa El-Hadidy,Dentist,4.5,"Heliopolis ,  Bridge",Others,"Heliopolis ,  Bridge",,,,,,,
Adel Taha,ENT Doctor,4.5,"El-Rehab , Rehab , medical centre 2 , clinic 109","Eye, Ear and Nose","El-Rehab , Rehab , medical centre 2 , clinic 109",,,,,,,
Hani Zaki,Cardiologist,4.5,"El-Sheikh Zayed , Twin Towers",Cardiovascular,"El-Sheikh Zayed , Twin Towers",,,,,,,
Fatma El-Baz,Internist,4.5,"Nasr City ,  ahmed el zomor",Others,"Nasr City ,  ahmed el zomor",,,,,,,
Reem Nasser,Gynecologist,4.5,"El-Agamy , Kilometer 21 square,",Urinary and Reproductive,"El-Agamy , Kilometer 21 square,",,,,,,,
Dina El-Saied,Pediatrician,4.5,"Nasr City , Mostafa nhas St",Others,"Nasr City , Mostafa nhas St",,,,,,,
Reem El-Kholy,ENT Doctor,4.0,"El-Mokattam , 9 S.t","Eye, Ear and Nose","El-Mokattam , 9 S.t",,,,,,,
Nadia Hassan,Plastic Surgeon,4.5,"Sporting , Port Saeid St.,",Musculoskeletal,"Sporting , Port Saeid St.,",,,,,,,
Hani Mostafa,Oncologist,4.5,El-Haram,Others,El-Haram,3.0,29.9942663,31.1604591,29.9942663,31.1604591,29.9942663,31.1604591
Salim El-Saied,Dentist,4.5,"6th of October , omrania tanua",Others,"6th of October , omrania tanua",,,,,,,
Khaled El-Din,Cardiologist,5.0,"West El-Balad ,  Mohamed farid",Cardiovascular,"West El-Balad ,  Mohamed farid",,,,,,,
Noha El-Mahdy,Cardiologist,4.5,"El-Agamy , Alrxandria- matrouh road",Cardiovascular,"El-Agamy , Alrxandria- matrouh road",,,,,,,
Mohamed El-Khatib,Orthopedist,4.5,Nasr City,Musculoskeletal,Nasr City,4.0,30.0521177,31.3422045,30.0521177,31.3422045,30.0521177,31.3422045
Yasmin El-Kholy,Urologist,4.0,"Heliopolis , bagdad st.",Urinary and Reproductive,"Heliopolis , bagdad st.",,,,,,,
Reem Youssef,Ophthalmologist,4.5,"Nasr City , mostafa el nahhas street","Eye, Ear and Nose","Nasr City , mostafa el nahhas street",,,,,,,
Khaled El-Gohary,Rheumatologist,4.5,"El-Zagazig , vilal gamaa street next to madina mosque",Musculoskeletal,"El-Zagazig , vilal gamaa street next to madina mosque",,,,,,,
Fatma El-Sayed,Urologist,4.0,"El-Mohandessin ,  shehab street",Urinary and Reproductive,"El-Mohandessin ,  shehab street",,,,,,,
Mostafa Samir,Dermatologist,4.5,"El-Maadi ,  El Horya Square",Skin,"El-Maadi ,  El Horya Square",,,,,,,
Omar Ibrahim,Cardiologist,4.5,"El-Sheikh Zayed , Twin Towers-Elmehwar Elmarkazi",Cardiovascular,"El-Sheikh Zayed , Twin Towers-Elmehwar Elmarkazi",,,,,,,
Fady El-Amin,Vascular Surgeon,4.5,"El-Manyal , El Manyal",Musculoskeletal,"El-Manyal , El Manyal",,,,,,,
Nour Mansour,Gynecologist,4.5,"El-Obour City , Al Obour center",Urinary and Reproductive,"El-Obour City , Al Obour center",,,,,,,
Nadia Abdallah,Physiotherapist,5.0,El-Mansoura,Musculoskeletal,El-Mansoura,0.0,36.786091,9.9000163,36.786091,9.9000163,36.786091,9.9000163
Nour Gaber,Dermatologist,4.5,El-Ibrahimia,Skin,El-Ibrahimia,1.0,28.4243751,30.7932891,28.4243751,30.7932891,28.4243751,30.7932891
Mahmoud El-Sherif,Orthopedist,4.5,6th of October,Musculoskeletal,6th of October,2.0,29.9723458,30.9409205,29.9723458,30.9409205,29.9723458,30.9409205
Rami El-Mahdy,Gynecologist,4.758470894874023,El-Haram,Urinary and Reproductive,El-Haram,3.0,29.9942663,31.1604591,29.9942663,31.1604591,29.9942663,31.1604591
Hassan Farouk,Dermatologist,5.0,Nasr City,Skin,Nasr City,4.0,30.0521177,31.3422045,30.0521177,31.3422045,30.0521177,31.3422045
Nour Mahmoud,Dentist,4.5,"Heliopolis ,  Bridge",Others,"Heliopolis ,  Bridge",,,,,,,
Reem Mansour,Vascular Surgeon,4.5,"Faisal ,  Faisal",Musculoskeletal,"Faisal ,  Faisal",,,,,,,
Salim El-Din,Internist,4.5,"Nasr City ,  ahmed el zomor",Others,"Nasr City ,  ahmed el zomor",,,,,,,
Khaled El-Shennawy,Gynecologist,4.5,"El-Agamy , Kilometer 21 square,",Urinary and Reproductive,"El-Agamy , Kilometer 21 square,",,,,,,,
Salim El-Hadidy,ENT Doctor,4.0,"El-Mokattam , 9 S.t","Eye, Ear and Nose","El-Mokattam , 9 S.t",,,,,,,
Amr Gaber,Cardiologist,5.0,"West El-Balad ,  Mohamed farid",Cardiovascular,"West El-Balad ,  Mohamed farid",,,,,,,
Tamer Abdelrahman,Dermatologist,4.5,"El-Obour City , Alsadat St.",Skin,"El-Obour City , Alsadat St.",,,,,,,
Dina Mahmoud,Psychiatrist,4.0,"El-Mansoura , Hussein bek street in front of family regulation office",Neurological and Psychiatric,"El-Mansoura , Hussein bek street in front of family regulation office",,,,,,,
Mohamed Farouk,Pediatrician,4.5,Miamy,Others,Miamy,35.0,-23.4461564,-51.8861956,-23.4461564,-51.8861956,-23.4461564,-51.8861956
Tamer Mostafa,Orthopedist,4.5,Faisal,Musculoskeletal,Faisal,75.0,30.0978834,32.4856496,30.0978834,32.4856496,30.0978834,32.4856496
Sara El-Sayed,Gynecologist,4.5,"New Cairo , abdallah ibn salama",Urinary and Reproductive,"New Cairo , abdallah ibn salama",,,,,,,
Dina Fahmy,Internist,4.0,"El-Rehab , el sadat axis-The corner mall",Others,"El-Rehab , el sadat axis-The corner mall",,,,,,,
Sami El-Kholy,Pediatrician,4.5,"New Cairo , 3rd block",Others,"New Cairo , 3rd block",,,,,,,
Jamal El-Sherbiny,Psychiatrist,4.0,trablous,Neurological and Psychiatric,trablous,,,,,,,
Firas Abdelrahman,Andrologist,4.5,"6th of October , 4th District - 3rd Neighborhood",Urinary and Reproductive,"6th of October , 4th District - 3rd Neighborhood",,,,,,,
Hassan Samir,Orthopedist,4.5,6th of October,Musculoskeletal,6th of October,2.0,29.9723458,30.9409205,29.9723458,30.9409205,29.9723458,30.9409205
Aya El-Gohary,General Surgeon,4.5,"Shoubra El-Kheima , ElSharea ElGded",Musculoskeletal,"Shoubra El-Kheima , ElSharea ElGded",,,,,,,
Mohamed El-Gendy,Ophthalmologist,4.5,New Cairo,"Eye, Ear and Nose",New Cairo,30.0,30.0277688,31.4756825,30.0277688,31.4756825,30.0277688,31.4756825
Rania Fahmy,Neurologist,4.5,"Shoubra El-Kheima , 15 may street across the new street",Neurological and Psychiatric,"Shoubra El-Kheima , 15 may street across the new street",,,,,,,
Ibrahim Zaki,Nutritionist,4.5,"El-Matareya , El horeya street",Others,"El-Matareya , El horeya street",,,,,,,
Mahmoud Kamel,Rheumatologist,4.5,"Nasr City , Gafar Elsadek st branched from eltayaran",Musculoskeletal,"Nasr City , Gafar Elsadek st branched from eltayaran",,,,,,,
Heba Fathy,Internist,4.5,"El-Maadi , 77 St.",Others,"El-Maadi , 77 St.",,,,,,,
Sara El-Shennawy,Cardiologist,4.5,Heliopolis,Cardiovascular,Heliopolis,114.0,-10.6753416,-38.2815308,-10.6753416,-38.2815308,-10.6753416,-38.2815308
Fady El-Din,Pediatrician,4.5,"Faisal , king  Faisal taawon",Others,"Faisal , king  Faisal taawon",,,,,,,
Zein Kamel,Andrologist,4.5,Faisal,Urinary and Reproductive,Faisal,75.0,30.0978834,32.4856496,30.0978834,32.4856496,30.0978834,32.4856496
Ibrahim Taha,Urologist,4.5,"Shoubra , 15 may street",Urinary and Reproductive,"Shoubra , 15 may street",,,,,,,
Mohamed Kamel,Nutritionist,4.0,"El-Mansheyah , Hamam El Warsha",Others,"El-Mansheyah , Hamam El Warsha",,,,,,,
Tamer El-Saied,Physiotherapist,5.0,El-Mansoura,Musculoskeletal,El-Mansoura,0.0,36.786091,9.9000163,36.786091,9.9000163,36.786091,9.9000163
Laila Taha,Dermatologist,4.5,El-Ibrahimia,Skin,El-Ibrahimia,1.0,28.4243751,30.7932891,28.4243751,30.7932891,28.4243751,30.7932891
Mona El-Sherbiny,Orthopedist,4.5,6th of October,Musculoskeletal,6th of October,2.0,29.9723458,30.9409205,29.9723458,30.9409205,29.9723458,30.9409205
Salim El-Kassas,Gynecologist,4.758470894874023,El-Haram,Urinary and Reproductive,El-Haram,3.0,29.9942663,31.1604591,29.9942663,31.1604591,29.9942663,31.1604591
Zein Youssef,Dermatologist,5.0,Nasr City,Skin,Nasr City,4.0,30.0521177,31.3422045,30.0521177,31.3422045,30.0521177,31.3422045
Nader Youssef,Hepatologist,4.5,"Faisal , Faisal",Gastrointestinal and Liver,"Faisal , Faisal",,,,,,,
Sara El-Gendy,Orthopedist,4.5,Ain Shams,Musculoskeletal,Ain Shams,244.0,30.1304761,31.3167491,30.1304761,31.3167491,30.1304761,31.3167491
Rami Samir,Rheumatologist,4.0,"El-Haram ,  Abo emera street",Musculoskeletal,"El-Haram ,  Abo emera street",,,,,,,
Laila El-Masry,Ophthalmologist,4.5,"El-Maadi , 153","Eye, Ear and Nose","El-Maadi , 153",,,,,,,
Bassam Gaber,Physiotherapist,4.0,"El-Maadi , 9",Musculoskeletal,"El-Maadi , 9",,,,,,,
Mona El-Kassas,Dermatologist,4.5,"El-Obour City , Alsadat St.",Skin,"El-Obour City , Alsadat St.",,,,,,,
Mohamed Taha,Psychiatrist,4.0,"El-Mansoura , Hussein bek street in front of family regulation office",Neurological and Psychiatric,"El-Mansoura , Hussein bek street in front of family regulation office",,,,,,,
Yasmin Zaki,Ophthalmologist,5.0,"Shoubra El-Kheima , 15 mayo"" ElshareEl gedidi ""","Eye, Ear and Nose","Shoubra El-Kheima , 15 mayo"" ElshareEl gedidi """,,,,,,,
Nadia Gaber,Gynecologist,4.0,El-Ibrahimia,Urinary and Reproductive,El-Ibrahimia,1.0,28.4243751,30.7932891,28.4243751,30.7932891,28.4243751,30.7932891
Hani Mansour,Pediatrician,4.5,Miamy,Others,Miamy,35.0,-23.4461564,-51.8861956,-23.4461564,-51.8861956,-23.4461564,-51.8861956
Yasmin El-Khatib,Internist,4.0,"El-Rehab , el sadat axis-The corner mall",Others,"El-Rehab , el sadat axis-The corner mall",,,,,,,
Mohamed El-Kassas,Pediatrician,4.5,"New Cairo , 3rd block",Others,"New Cairo , 3rd block",,,,,,,
Hassan Fathy,Oncologist,4.5,El-Haram,Others,El-Haram,3.0,29.9942663,31.1604591,29.9942663,31.1604591,29.9942663,31.1604591
Fatma Nasser,Orthopedist,4.5,"El-Maadi ,  ElNasr",Musculoskeletal,"El-Maadi ,  ElNasr",,,,,,,
Sara El-Hadidy,Nephrologist,5.0,"Faisal , Faisal street",Urinary and Reproductive,"Faisal , Faisal street",,,,,,,
Salim Hassan,ENT Doctor,4.5,"El-Rehab , Rehab , medical centre 2 , clinic 109","Eye, Ear and Nose","El-Rehab , Rehab , medical centre 2 , clinic 109",,,,,,,
Fatma Saeed,Urologist,4.0,"Heliopolis , bagdad st.",Urinary and Reproductive,"Heliopolis , bagdad st.",,,,,,,
Salma Mostafa,Plastic Surgeon,4.5,"Sporting , Port Saeid St.,",Musculoskeletal,"Sporting , Port Saeid St.,",,,,,,,
Zein Abdallah,Vascular Surgeon,4.5,"6th of October , El Mehwar El Markazy",Musculoskeletal,"6th of October , El Mehwar El Markazy",,,,,,,
Rami Nasser,Cardiologist,4.5,"El-Sheikh Zayed , Twin Towers",Cardiovascular,"El-Sheikh Zayed , Twin Towers",,,,,,,
Bassam Mahmoud,ENT Doctor,4.5,El-Mohandessin,"Eye, Ear and Nose",El-Mohandessin,133.0,30.0583951,31.2020231,30.0583951,31.2020231,30.0583951,31.2020231
Adel Hassan,Cardiologist,4.5,Heliopolis,Cardiovascular,Heliopolis,114.0,-10.6753416,-38.2815308,-10.6753416,-38.2815308,-10.6753416,-38.2815308
Amira El-Kassas,Dentist,4.5,"Heliopolis ,  Bridge",Others,"Heliopolis ,  Bridge",,,,,,,
Reem Hassan,Psychiatrist,4.5,"Hadayek El-Kobba , Masr El-Soadan",Neurological and Psychiatric,"Hadayek El-Kobba , Masr El-Soadan",,,,,,,
Ahmed Fahmy,Internist,4.5,"El-Maadi , algazerr",Others,"El-Maadi , algazerr",,,,,,,
Salma El-Baz,Ophthalmologist,4.5,New Cairo,"Eye, Ear and Nose",New Cairo,30.0,30.0277688,31.4756825,30.0277688,31.4756825,30.0277688,31.4756825
Noha Fathy,Pediatrician,4.5,"Faisal , king  Faisal taawon",Others,"Faisal , king  Faisal taawon",,,,,,,
Mahmoud Fahmy,Vascular Surgeon,4.5,"Faisal ,  Faisal",Musculoskeletal,"Faisal ,  Faisal",,,,,,,
Nour El-Din,Ophthalmologist,4.5,"Nasr City , mostafa el nahhas street","Eye, Ear and Nose","Nasr City , mostafa el nahhas street",,,,,,,
Fatma Fahmy,Internist,4.5,"Nasr City ,  ahmed el zomor",Others,"Nasr City ,  ahmed el zomor",,,,,,,
Youssef El-Gohary,Physiotherapist,5.0,El-Mansoura,Musculoskeletal,El-Mansoura,0.0,36.786091,9.9000163,36.786091,9.9000163,36.786091,9.9000163
Bassam El-Shennawy,Dermatologist,4.5,El-Ibrahimia,Skin,El-Ibrahimia,1.0,28.4243751,30.7932891,28.4243751,30.7932891,28.4243751,30.7932891
Reem Abdelrahman,Orthopedist,4.5,6th of October,Musculoskeletal,6th of October,2.0,29.9723458,30.9409205,29.9723458,30.9409205,29.9723458,30.9409205
Zein Fathy,Gynecologist,4.758470894874023,El-Haram,Urinary and Reproductive,El-Haram,3.0,29.9942663,31.1604591,29.9942663,31.1604591,29.9942663,31.1604591
Fady Zaki,Dermatologist,5.0,Nasr City,Skin,Nasr City,4.0,30.0521177,31.3422045,30.0521177,31.3422045,30.0521177,31.3422045
Mariam El-Kassas,ENT Doctor,4.0,Faisal,"Eye, Ear and Nose",Faisal,75.0,30.0978834,32.4856496,30.0978834,32.4856496,30.0978834,32.4856496
Fady El-Khatib,Neurologist,4.5,"El-Abbasia , Abdou Pacha Sq.",Neurological and Psychiatric,"El-Abbasia , Abdou Pacha Sq.",,,,,,,
Laila El-Shennawy,Gynecologist,4.5,"6th of October , the central axis",Urinary and Reproductive,"6th of October , the central axis",,,,,,,
Mona El-Kholy,Ophthalmologist,4.5,"El-Maadi , 153","Eye, Ear and Nose","El-Maadi , 153",,,,,,,
Bassam Nasser,Internist,4.5,"El-Mandara , Mohamed Hassanin Hiekel",Others,"El-Mandara , Mohamed Hassanin Hiekel",,,,,,,
Fady Ibrahim,Hepatologist,4.5,"Faisal , Faisal",Gastrointestinal and Liver,"Faisal , Faisal",,,,,,,
Mostafa Khalil,Orthopedist,5.0,"Sidy Gaber , Elhoreia",Musculoskeletal,"Sidy Gaber , Elhoreia",,,,,,,
Bassam Ibrahim,Gynecologist,4.5,"El-Sheikh Zayed , Medical Hub Center-Khameal City-Gate 2-Infront of Hyperone",Urinary and Reproductive,"El-Sheikh Zayed , Medical Hub Center-Khameal City-Gate 2-Infront of Hyperone",,,,,,,
Dina Samir,Gastroenterologist,5.0,Ain Shams,Gastrointestinal and Liver,Ain Shams,244.0,30.1304761,31.3167491,30.1304761,31.3167491,30.1304761,31.3167491
Salim El-Masry,Urologist,4.5,"El-Marg , Ahmed sediq",Urinary and Reproductive,"El-Marg , Ahmed sediq",,,,,,,
Amr El-Shennawy,Gastroenterologist,4.5,"Sidy Gaber , Portsaif",Gastrointestinal and Liver,"Sidy Gaber , Portsaif",,,,,,,
Fady Taha,Neurologist,4.0,"El-Haram , Terat Al Zomir Street",Neurological and Psychiatric,"El-Haram , Terat Al Zomir Street",,,,,,,
Laila El-Amin,ENT Doctor,4.5,El-Maadi,"Eye, Ear and Nose",El-Maadi,50.0,36.6117091,4.6680878,36.6117091,4.6680878,36.6117091,4.6680878
Ahmed El-Sayed,Orthopedist,4.5,Ain Shams,Musculoskeletal,Ain Shams,244.0,30.1304761,31.3167491,30.1304761,31.3167491,30.1304761,31.3167491
Fady Fathy,Dermatologist,4.5,"6th of October , elmahwar el markazi",Skin,"6th of October , elmahwar el markazi",,,,,,,
Nader El-Hadidy,Rheumatologist,4.0,"El-Haram ,  Abo emera street",Musculoskeletal,"El-Haram ,  Abo emera street",,,,,,,
Amira Gaber,Pulmonologist,4.5,"El-Haram , Al Haram street -",Respiratory,"El-Haram , Al Haram street -",,,,,,,
Amira Abdallah,Gynecologist,4.5,"El-Rehab , Medical center 2 ,  El Rehab City",Urinary and Reproductive,"El-Rehab , Medical center 2 ,  El Rehab City",,,,,,,
Mona Abdallah,Gastroenterologist,4.5,"El-Giza , el gamaa Street",Gastrointestinal and Liver,"El-Giza , el gamaa Street",,,,,,,
Heba El-Sherbiny,Internist,4.5,"El-Haram , El haram St.",Others,"El-Haram , El haram St.",,,,,,,
Amira El-Sherbiny,Psychiatrist,4.5,"El-Haram , Naser althora",Neurological and Psychiatric,"El-Haram , Naser althora",,,,,,,
Fatma El-Din,Gynecologist,4.5,"El-Rehab , medical park elite next to city square",Urinary and Reproductive,"El-Rehab , medical park elite next to city square",,,,,,,
Salim Fathy,Pulmonologist,4.0,El-Maadi,Respiratory,El-Maadi,50.0,36.6117091,4.6680878,36.6117091,4.6680878,36.6117091,4.6680878
Salma Salah,Orthopedist,4.5,"6th of October , 71 fadan",Musculoskeletal,"6th of October , 71 fadan",,,,,,,
Rania Nasser,ENT Doctor,4.5,"El-Rehab , Rehab , medical centre 2 , clinic 109","Eye, Ear and Nose","El-Rehab , Rehab , medical centre 2 , clinic 109",,,,,,,
Amr El-Hadidy,Urologist,4.0,"Heliopolis , bagdad st.",Urinary and Reproductive,"Heliopolis , bagdad st.",,,,,,,
Ali Saeed,Dermatologist,4.5,"Heliopolis , El Merghany",Skin,"Heliopolis , El Merghany",,,,,,,
Nader Samir,Cardiologist,4.5,"El-Sheikh Zayed , Twin Towers",Cardiovascular,"El-Sheikh Zayed , Twin Towers",,,,,,,
Salma Zaki,Physiotherapist,5.0,El-Mansoura,Musculoskeletal,El-Mansoura,0.0,36.786091,9.9000163,36.786091,9.9000163,36.786091,9.9000163
Sara Salah,Dermatologist,4.5,El-Ibrahimia,Skin,El-Ibrahimia,1.0,28.4243751,30.7932891,28.4243751,30.7932891,28.4243751,30.7932891
Hani Samir,Orthopedist,4.5,6th of October,Musculoskeletal,6th of October,2.0,29.9723458,30.9409205,29.9723458,30.9409205,29.9723458,30.9409205
Zein Taha,Gynecologist,4.758470894874023,El-Haram,Urinary and Reproductive,El-Haram,3.0,29.9942663,31.1604591,29.9942663,31.1604591,29.9942663,31.1604591
Fady El-Saied,Dermatologist,5.0,Nasr City,Skin,Nasr City,4.0,30.0521177,31.3422045,30.0521177,31.3422045,30.0521177,31.3422045
Jamal El-Naggar,Physiotherapist,5.0,"Heliopolis , abu bakr el sedeek saffir sqaure",Musculoskeletal,"Heliopolis , abu bakr el sedeek saffir sqaure",,,,,,,
Hani El-Masry,Plastic Surgeon,4.0,"El-Ibrahimia , abokeir road",Musculoskeletal,"El-Ibrahimia , abokeir road",,,,,,,
Khaled Samir,General Surgeon,4.5,Faisal,Musculoskeletal,Faisal,75.0,30.0978834,32.4856496,30.0978834,32.4856496,30.0978834,32.4856496
Hani Hassan,Internist,4.0,Heliopolis,Others,Heliopolis,114.0,-10.6753416,-38.2815308,-10.6753416,-38.2815308,-10.6753416,-38.2815308
Omar Hussein,Dentist,4.5,"8th district, Above Ragab's Sons s market - mall five stars 2 new floor",Others,"8th district, Above Ragab's Sons s market - mall five stars 2 new floor",,,,,,,
Jamal El-Gohary,Gynecologist,4.5,"Nasr City , ahmed elzomr",Urinary and Reproductive,"Nasr City , ahmed elzomr",,,,,,,
Walid El-Sherbiny,Dentist,4.5,"Nasr City , Abu Dawood Al-Zahery",Others,"Nasr City , Abu Dawood Al-Zahery",,,,,,,
Youssef El-Shazly,Cardiologist,4.5,"Ain Shams , Seha street",Cardiovascular,"Ain Shams , Seha street",,,,,,,
Heba Gaber,Internist,4.758470894874023,Beverly Hills,Others,Beverly Hills,275.0,34.0696501,-118.3963062,,,34.0696501,-118.3963062
Dina Kamel,General Surgeon,4.5,El-Mansoura,Musculoskeletal,El-Mansoura,0.0,36.786091,9.9000163,36.786091,9.9000163,36.786091,9.9000163
Tamer El-Kassas,Gynecologist,4.0,"Hadayek El-Ahram , zen",Urinary and Reproductive,"Hadayek El-Ahram , zen",,,,,,,
Aya Mansour,Dentist,5.0,"New Cairo , North",Others,"New Cairo , North",,,,,,,
Mariam Gaber,Cardiologist,4.5,"El-Haram , Al Haram street",Cardiovascular,"El-Haram , Al Haram street",,,,,,,
Walid Mostafa,Cardiologist,4.5,"El-Agamy , -salah el awdy st.",Cardiovascular,"El-Agamy , -salah el awdy st.",,,,,,,
Sami Abdallah,Internist,4.5,"6th of October , nagda square",Others,"6th of October , nagda square",,,,,,,
Khaled Fathy,Urologist,4.5,"El-Marg , Ahmed sediq",Urinary and Reproductive,"El-Marg , Ahmed sediq",,,,,,,
Ahmed Youssef,Gastroenterologist,5.0,Ain Shams,Gastrointestinal and Liver,Ain Shams,244.0,30.1304761,31.3167491,30.1304761,31.3167491,30.1304761,31.3167491
